objid,u,g,r,i,z,ra,dec,flags_r,nvote,elliptical,spiralclock,spiralanticlock,edgeon,dontknow,merger
1237648597190050276,18.71962,17.45311,16.88231,16.54723,16.2756,243.907445992024,0.00239455973999592,6755674587562000,41,0.145999997854233,0.73199999332428,0.0240000002086163,0.0729999989271164,0.0240000002086163,0
1237648673456455904,18.92431,17.23879,16.34981,15.87913,15.53199,239.382779342383,-0.467645077965633,6755674587562000,19,0.368000000715256,0,0.632000029087067,0,0,0
1237648673458028867,18.90115,17.03906,16.03109,15.4815,15.06539,242.954822857834,-0.44645743725235,4503874840985672,53,0.170000001788139,0.0379999987781048,0,0.791999995708466,0,0
1237648673458553624,18.63084,16.69326,15.67451,15.20557,14.82077,244.284910358756,-0.455476626971969,6755674587562000,26,0.922999978065491,0,0.0379999987781048,0.0379999987781048,0,0
1237648673458684355,17.9878,16.51811,15.74451,15.30433,14.98556,244.496790593595,-0.498397857386447,6755674587430928,23,0,1,0,0,0,0
1237648673458946441,18.78953,17.36215,16.637,16.21224,15.92757,245.102296834421,-0.493661591244584,6755674587430928,33,0.181999996304512,0.455000013113022,0,0.333000004291534,0,0.0299999993294477
1237648673459077169,18.12316,16.31978,15.37991,14.91012,14.5367,245.36735255391,-0.45707380877553,6755674587566096,32,0.25,0.156000003218651,0.061999998986721,0.531000018119812,0,0
1237648673459667002,18.0106,16.81185,16.32209,16.03653,15.92627,246.695625778243,-0.510110723913477,4503874773876752,22,0,0,0.954999983310699,0,0,0.0450000017881393
1237648673459667234,17.60994,15.90911,15.0209,14.54955,14.19971,246.78208089527,-0.492431556613583,6755674587430928,27,0.333000004291534,0.0740000009536743,0.0740000009536743,0.518999993801117,0,0
1237648673459798399,17.64378,16.1895,15.55175,15.20067,14.99811,246.995902944703,-0.489532913168836,6755674587430932,30,0.0329999998211861,0,0.833000004291534,0.133000001311302,0,0
1237648673460585255,18.73576,16.83826,15.94847,15.53803,15.15638,248.89452046122,-0.452329487143864,6755674587562000,21,0.189999997615814,0,0.619000017642975,0.189999997615814,0,0
1237648673460847568,18.99369,17.31122,16.48666,16.05332,15.74858,249.49655124089,-0.498468271539199,6755674587430928,40,0.025000000372529,0,0.949999988079071,0.025000000372529,0,0
1237648673993392350,18.79019,16.79083,15.8557,15.38292,15.03051,239.514934679486,-0.124238866669572,4503874790588928,27,0.666999995708466,0,0,0.333000004291534,0,0
1237648673993654418,18.89928,17.49742,16.63788,16.12202,15.76694,240.17097844657,-0.0772683335397786,4503874773745680,37,0.296999990940094,0.108000002801418,0,0.188999995589256,0.0810000002384186,0.324000000953674
1237648673994834323,18.6699,16.70715,15.69039,15.23475,14.86296,242.829351255025,-0.0943714724314949,6755674587430928,36,0.944000005722046,0.0280000008642673,0,0,0,0.0280000008642673
1237648673994900087,18.63214,17.03507,16.27731,15.9094,15.64428,243.076397717554,-0.051235078257416,6755674587566096,29,0.034000001847744,0,0.930999994277954,0.034000001847744,0,0
1237648673994965546,16.66974,14.77006,13.88219,13.42507,13.14396,243.236781626301,-0.0962512670121271,6755674587566096,49,0,0,1,0,0,0
1237648673994965546,16.66974,14.77006,13.88219,13.42507,13.14396,243.236781626301,-0.0962512670121271,6755674587566096,26,0,0,0.962000012397766,0,0.0379999987781048,0
1237648673995162093,18.06095,16.20889,15.2915,14.84426,14.47095,243.583195948052,-0.0315641264387658,6755674587562000,32,0.843999981880188,0,0.0309999994933605,0.125,0,0
1237648673995686549,18.45272,16.84462,15.96703,15.53325,15.22941,244.875590054073,-0.0385262479738886,6755674587430928,35,0,0.971000015735626,0.028999999165535,0,0,0
